Graph Name,Num of Nodes,Num of Edges,Num of Critical Nodes,Num of Critical Edges
Scalabrino158.java,17,34,8,7
Scalabrino162.java,25,71,6,7
Scalabrino135.java,30,90,15,31
Scalabrino142.java,15,41,7,7
Scalabrino154.java,21,61,10,12
Scalabrino178.java,10,27,5,5
Scalabrino197.java,15,57,7,10
Scalabrino181.java,24,71,12,19
Scalabrino84.java,16,40,8,10
Scalabrino180.java,28,88,14,28
Scalabrino179.java,20,55,8,8
Scalabrino196.java,4,12,4,5
Scalabrino50.java,19,52,9,13
Scalabrino155.java,28,83,14,21
Scalabrino163.java,16,48,8,12
Scalabrino89.java,19,38,9,12
Scalabrino200.java,33,79,16,27
Scalabrino148.java,3,10,3,3
Scalabrino109.java,29,84,14,23
Scalabrino125.java,13,38,6,8
Scalabrino98.java,18,48,9,13
Scalabrino36.java,6,15,4,4
Scalabrino132.java,14,35,7,7
Scalabrino173.java,20,51,9,13
Scalabrino7.java,21,59,10,15
Scalabrino149.java,33,113,16,30
Scalabrino96.java,23,63,11,19
Scalabrino8.java,20,60,10,15
Scalabrino111.java,12,29,5,5
Scalabrino146.java,19,73,9,13
Scalabrino43.java,16,57,8,14
Scalabrino34.java,22,73,11,24
Scalabrino170.java,16,45,8,15
Scalabrino127.java,29,76,14,28
Scalabrino126.java,9,27,4,3
Scalabrino74.java,12,48,6,5
Scalabrino167.java,17,49,8,12
Scalabrino15.java,26,81,13,18
Scalabrino97.java,20,52,10,15
Scalabrino192.java,33,97,12,25
Scalabrino137.java,26,73,13,21
Scalabrino49.java,15,41,7,6
Scalabrino69.java,20,60,8,9
Scalabrino28.java,16,52,8,10
Scalabrino140.java,33,123,13,24
Scalabrino157.java,14,31,7,8
Scalabrino194.java,10,33,5,6
Scalabrino68.java,36,108,16,32
Scalabrino198.java,15,52,6,9
Scalabrino177.java,37,96,18,32
